type,step,loss
V,96000,0.00794578
T,96500,0.00673059
T,97000,0.00682354
V,97000,0.00900231
T,97500,0.00653013
T,98000,0.0064619
V,98000,0.00886791
T,98500,0.00581589
T,99000,0.00640118
V,99000,0.0079406
T,99500,0.00642205
T,100000,0.00612144
V,100000,0.00858852
