,loss
0,0.05372364515830049
1,0.07353502824068313
2,0.04265844040519104
3,0.04092317527121976
4,0.10998331263688024
5,0.03601132692314126
6,0.07189591324855693
7,0.05717792749462096
8,0.047444012919787434
9,0.056284671660316705
10,0.05963077478614734
11,0.04741650735846234
12,0.07967535080194758
13,0.04553127828637523
14,0.059598963043573636
15,0.08789246512723584
16,0.060784301704943706
17,0.04121554688425788
18,0.04482607663119622
19,0.03616280401956222
20,0.047499990029091846
21,0.06733525043824833
22,0.08404730214539291
23,0.08202807902623001
24,0.05273094841540778
25,0.050313325436495186
26,0.04982787428534455
27,0.04849526629532577
28,0.03710774790456457
29,0.0431323323835193
30,0.042020690272006576
31,0.05063371513483884
32,0.040023076480863035
33,0.03974219233943225
34,0.036356600327008305
35,0.043155025499774485
36,0.07822625957134373
37,0.06861820843610568
38,0.03954405633286897
39,0.06323646648458633
40,0.037327433700726144
41,0.039418497123590426
42,0.06755123041597969
43,0.03739373803024185
44,0.04849609478215043
45,0.04036597848911649
46,0.03467224194135266
47,0.08127338457360488
48,0.24110027351355665
49,0.053534795407974504
50,0.0668937834306423
51,0.04790358331061174
52,0.08562308686763757
53,0.06845510139045913
54,0.08880431868723611
55,0.05552689195776511
56,0.03393147072392971
57,0.049819125384322815
58,0.05200044938051146
59,0.06175735752392247
60,0.07244005239305205
61,0.04883514993178068
62,0.09219019746196346
63,0.05067757169775814
64,0.05237158418815929
65,0.08504459270653675
66,0.03423336363670238
67,0.05691742135287776
68,0.06426958136420184
69,0.03815180237912372
70,0.060400531938655515
71,0.039955209227465635
72,0.05037235355783211
73,0.0393923205884567
74,0.0571649664620266
75,0.05315760574326017
76,0.04263063397308657
77,0.04363207680684155
78,0.05471268269899402
79,0.04452938327097111
80,0.047363529512777634
81,0.06002834941881283
82,0.03288585775432671
83,0.029253906669910307
84,0.03383021314927662
85,0.03459244622087315
86,0.04367475628823801
87,0.05259644950465259
88,0.03449563317777053
89,0.03469087196974173
90,0.05196697548209235
91,0.10048781149705166
92,0.06909934430453364
93,0.06408516183466642
94,0.038782793703886986
95,0.19464383256043427
96,0.043557093294511795
97,0.044726989168315474
98,0.04447987534188316
99,0.0446638095949564
100,0.04425285286909619
101,0.056097165723884096
102,0.05106558483961638
103,0.03529549906772321
104,0.051045196412796
105,0.037116707305962005
106,0.030983387758253645
107,0.050258459664892785
108,0.06013466461010338
109,0.05474242419832323
110,0.0396716489271244
111,0.045879369234484615
112,0.04533036777003273
113,0.07328390349614666
114,0.06570840863945081
115,0.03389739345938384
116,0.04742307561890063
117,0.09613748762977614
118,0.03556442088755273
119,0.035514852426124385
120,0.057513610619172664
121,0.058734950997894914
122,0.04086283472767635
123,0.053429180630019606
124,0.039768171663161905
125,0.030516358299951148
126,0.04829995316711274
127,0.04348082476260228
128,0.04518223385866472
129,0.04389200589216887
130,0.03296846239933927
131,0.05270433562708598
132,0.03888249046012625
133,0.04930210541308073
134,0.05537786309181619
135,0.030553367530274638
136,0.05040230657699325
137,0.04661778988869346
138,0.041550836654703695
139,0.04433797382985503
140,0.04875175797143278
141,0.038120682219250496
142,0.04596360228123233
143,0.040167622323263014
144,0.06569266702457621
145,0.07146967118944907
146,0.04073666003126985
147,0.04777601702582046
148,0.05849941975234485
149,0.06933406967770722
150,0.03530541289242693
151,0.04298162799420141
152,0.06687481692050214
153,0.047077152058447376
154,0.1233467995033083
155,0.03638574811735926
156,0.037935648713997294
157,0.04797659709277426
158,0.04763828861642629
159,0.04135708643593117
160,0.0499476995230998
161,0.030938566837620078
162,0.04570435780130071
163,0.04775609814838591
164,0.03574027146618034
165,0.0928722151972189
166,0.03868027955538848
167,0.033390142691843885
168,0.03740659914012076
169,0.05095791248460807
170,0.040643405343705453
171,0.050998815657657535
172,0.05898275961154161
173,0.1747660977754645
174,0.03910125685446438
175,0.04740970692063157
176,0.04272955669575286
177,0.03973285512198521
178,0.0428848613755802
179,0.17073646617536742
180,0.0369096262018473
181,0.04326802919374435
182,0.0470589196763474
183,0.05211743482806476
184,0.04549289124832069
185,0.03731147652419894
186,0.044781178074835434
187,0.035443041721741196
188,0.057774230757551545
189,0.04851695551796281
190,0.12487606476239309
191,0.05951279338107678
192,0.05146287005894596
193,0.051651813239926896
194,0.052527223736874386
195,0.12985218023256234
196,0.04723387654333626
197,0.03569014240506556
198,0.195709255769365
199,0.07000430933807462
200,0.05220319028685512
201,0.03806338874300237
202,0.035451723764858466
203,0.04082375894041678
204,0.03934684075175362
205,0.04504158996715301
206,0.027327434563570813
207,0.05722213944933506
208,0.04056727537170447
209,0.035870474643256725
210,0.03587495881004597
211,0.05112726327448422
212,0.042594884466494516
213,0.047427935952657235
214,0.046119093384163194
215,0.07872440678234681
216,0.0764641755857247
217,0.27024775255591554
218,0.0584616762758508
219,0.04848652093677437
220,0.039050648204435795
221,0.05910197374656717
222,0.0376792002219826
223,0.08707941313499468
224,0.03691987826498875
225,0.04273463767244194
226,0.030574365262748083
227,0.04993263419112281
228,0.05107841352848269
229,0.046329520371678694
230,0.048045310196290665
231,0.04109463567176045
232,0.3121243712175654
233,0.041129633821166314
234,0.05174792331280127
235,0.054217705102732
236,0.06808340447922961
237,0.04518581581317529
238,0.038748471875573454
239,0.06037558535949719
240,0.06921045564582717
241,0.039785259682819964
242,0.052390313169415816
243,0.06125073180397871
244,0.061692922322584776
245,0.04323747728647797
246,0.07157534081695086
247,0.050095494163029726
248,0.045032425827628175
249,0.04385637095689808
250,0.029383517493050768
251,0.03506410772932564
252,0.049167545078388976
253,0.04222836574750876
254,0.04673957939656268
255,0.03611548562531156
256,0.11706571808918294
257,0.06366684426122238
258,0.043446950778754885
259,0.0838802823362832
260,0.043684918011694975
261,0.03594419031138423
262,0.04445313830154312
263,0.03551406024611786
264,0.05429156088637156
265,0.056815788609897076
266,0.05202038327007362
267,0.05099057537606917
268,0.04165101524544609
269,0.04287535303407516
270,0.03704107739033057
271,0.046298655746303506
272,0.045835667358901475
273,0.03739565759000306
274,0.038122103876466897
275,0.05443804557326208
276,0.041720052477769734
277,0.051348987788783974
278,0.03747892665837835
279,0.0538108378820254
280,0.048577279161924336
281,0.06944135132534233
282,0.05175214498914558
283,0.03611077647755174
284,0.03149279816201109
285,0.07391286908783638
286,0.05657064941255458
287,0.045105215391310606
288,0.03670288366301975
289,0.042501295486832166
290,0.04038279802130669
291,0.04223881243570679
292,0.037584147624463694
293,0.04635240482904245
294,0.03474260895828857
295,0.04123179536896243
296,0.03657696410361054
297,0.04052247011555073
298,0.07202243670980359
299,0.051937659480294156
300,0.03784243089357806
301,0.038311377200565086
302,0.09614750720435633
303,0.074774634649308
304,0.04999422053433844
305,0.03303763841382881
306,0.025493814418202938
307,0.0392723585934684
308,0.029141482461471614
309,0.050211793528111205
310,0.1759593905986465
311,0.08401291294596219
312,0.17174316865528055
313,0.09054092876342466
314,0.03210121222699996
315,0.04040474206245075
316,0.050265745001547235
317,0.05788374833735461
318,0.03710621075536392
319,0.057861066164303955
320,0.048526200329830356
321,0.053267738510627195
322,0.03334805844075448
323,0.06837311112757524
324,0.03579802261840762
325,0.03749290677732159
326,0.03281382485199893
327,0.03849002301352682
328,0.03731027682661013
329,0.04465617077201933
