type,step,loss
T,96000,0.00475983
V,96000,0.00748221
T,96500,0.00469172
T,97000,0.00478992
V,97000,0.00735686
T,97500,0.00496484
T,98000,0.00505434
V,98000,0.00705302
T,98500,0.00457695
T,99000,0.005009
V,99000,0.00692591
T,99500,0.00480342
T,100000,0.00487507
V,100000,0.00710793
