type,step,loss
V,79000,3.83978
T,79500,1.83722
V,79500,3.75348
T,80000,1.96164
V,80000,3.89695
T,80500,1.9393
V,80500,3.75331
T,81000,2.10189
V,81000,3.83558
T,81500,1.7535
V,81500,3.84621
T,82000,1.941
V,82000,3.8078
T,82500,1.74682
V,82500,3.77113
T,83000,2.0129
V,83000,3.78515
T,83500,1.974
V,83500,3.8578
T,84000,1.92141
V,84000,3.81252
T,84500,1.8967
V,84500,3.84628
T,85000,2.02759
V,85000,3.91855
T,85500,2.19381
V,85500,4.0453
T,86000,1.8731
V,86000,3.84484
T,86500,1.85488
V,86500,3.80788
T,87000,1.8359
V,87000,3.81085
T,87500,1.80618
V,87500,3.74419
T,88000,1.92707
V,88000,3.80357
T,88500,1.71436
V,88500,3.69922
T,89000,1.9016
V,89000,3.71808
T,89500,1.75123
V,89500,3.68552
T,90000,1.81582
V,90000,3.80346
T,90500,1.66943
V,90500,3.69079
T,91000,1.76677
V,91000,3.7586
T,91500,1.69325
V,91500,3.74223
T,92000,2.01581
V,92000,3.79349
T,92500,1.81669
V,92500,3.77635
T,93000,1.69052
V,93000,3.72504
T,93500,1.87912
V,93500,3.74758
T,94000,1.63798
V,94000,3.717
T,94500,2.08868
V,94500,3.85055
T,95000,2.00686
V,95000,3.8664
T,95500,1.6471
V,95500,3.74036
T,96000,1.74909
V,96000,3.70224
T,96500,1.89913
V,96500,3.86341
T,97000,1.86439
V,97000,3.86656
T,97500,1.65746
V,97500,3.73502
T,98000,1.89973
V,98000,3.81726
T,98500,1.71601
V,98500,3.78931
T,99000,1.72503
V,99000,3.70797
T,99500,1.6946
V,99500,3.74604
T,100000,1.79339
V,100000,3.84635
