type,step,loss
V,79000,3.68506
T,79500,1.99244
V,79500,3.65982
T,80000,2.00229
V,80000,3.68466
T,80500,1.86926
V*,80500,3.64885
T,81000,1.90967
V*,81000,3.6283
T,81500,2.13047
V,81500,3.83592
T,82000,1.97625
V,82000,3.69146
T,82500,1.95928
V,82500,3.69732
T,83000,2.07208
V,83000,3.77133
T,83500,2.06655
V,83500,3.71107
T,84000,1.92659
V,84000,3.69265
T,84500,1.94026
V,84500,3.67392
T,85000,1.86807
V,85000,3.64352
T,85500,2.24127
V,85500,3.81432
T,86000,1.93482
V,86000,3.73692
T,86500,1.86557
V,86500,3.64667
T,87000,1.94161
V,87000,3.67619
T,87500,1.87626
V*,87500,3.57074
T,88000,1.97307
V,88000,3.67139
T,88500,1.97523
V,88500,3.73079
T,89000,2.07966
V,89000,3.70912
T,89500,1.99061
V,89500,3.71281
T,90000,1.85306
V,90000,3.64823
T,90500,1.90042
V,90500,3.6445
T,91000,1.83783
V,91000,3.59168
T,91500,1.8993
V,91500,3.70483
T,92000,1.99909
V,92000,3.69302
T,92500,1.84618
V,92500,3.6238
T,93000,1.90524
V,93000,3.65791
T,93500,2.01991
V,93500,3.70041
T,94000,1.98208
V,94000,3.70561
T,94500,2.0692
V,94500,3.72641
T,95000,1.92014
V,95000,3.69098
T,95500,1.87011
V,95500,3.64367
T,96000,1.87506
V,96000,3.62062
T,96500,1.86161
V,96500,3.68384
T,97000,1.90375
V,97000,3.64415
T,97500,1.83684
V,97500,3.65838
T,98000,1.83663
V,98000,3.71199
T,98500,1.88146
V,98500,3.66944
T,99000,1.78449
V,99000,3.59202
T,99500,2.04179
V,99500,3.73339
T,100000,1.76358
V,100000,3.59789
